dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,5,v0_weight_all,0.54,0.42,0.47,0
indian_pines,5,v0_weight_all,0.54,0.43,0.48,1
indian_pines,5,v0_weight_all,0.55,0.43,0.48,2
indian_pines,5,v0_weight_all,0.55,0.44,0.48,3
indian_pines,5,v0_weight_all,0.54,0.42,0.47,4
indian_pines,5,v0_weight_all,0.54,0.42,0.47,5
indian_pines,5,v0_weight_all,0.56,0.42,0.48,6
indian_pines,5,v0_weight_all,0.54,0.43,0.47,7
indian_pines,5,v0_weight_all,0.53,0.42,0.46,8
indian_pines,5,v0_weight_all,0.55,0.45,0.48,9
indian_pines,5,v0_weight_all,0.55,0.41,0.47,10
indian_pines,5,v0_weight_all,0.55,0.42,0.48,11
indian_pines,5,v0_weight_all,0.55,0.43,0.48,12
indian_pines,5,v0_weight_all,0.54,0.4,0.47,13
indian_pines,5,v0_weight_all,0.55,0.4,0.47,14
indian_pines,5,v0_weight_all,0.54,0.42,0.47,15
indian_pines,5,v0_weight_all,0.55,0.45,0.48,16
indian_pines,5,v0_weight_all,0.54,0.43,0.47,17
indian_pines,5,v0_weight_all,0.55,0.41,0.47,18
indian_pines,5,v0_weight_all,0.54,0.39,0.46,19
