dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,10,mcuve,1.511,0.524,0.368,0.434,62|63|64|65|66|67|68|69|70|71,1
indian_pines,9,mcuve,1.5,0.532,0.374,0.443,62|63|64|65|66|67|68|70|71,1
indian_pines,8,mcuve,1.484,0.528,0.369,0.439,62|63|64|65|66|67|68|69,1
indian_pines,7,mcuve,1.476,0.525,0.365,0.436,64|65|66|67|68|69|70,1
indian_pines,6,mcuve,1.507,0.525,0.363,0.433,63|64|65|66|67|68,1
indian_pines,5,mcuve,1.523,0.526,0.364,0.434,62|65|66|67|68,1
indian_pines,30,mcuve,1.581,0.695,0.68,0.653,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|97|98|99|100|147|148|149|152|153,2
indian_pines,29,mcuve,1.519,0.697,0.643,0.654,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|99|148|149|152|153,2
indian_pines,28,mcuve,1.535,0.679,0.625,0.634,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97|98|148|149|151|152,2
indian_pines,27,mcuve,1.51,0.701,0.652,0.659,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|97|98|148|149|152|153,2
indian_pines,26,mcuve,1.501,0.69,0.649,0.646,35|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94|97|98|99|148|152,2
indian_pines,25,mcuve,1.514,0.689,0.629,0.645,35|62|64|65|66|67|68|69|70|71|72|73|77|78|79|80|81|91|94|97|98|99|100|101|152,2
indian_pines,24,mcuve,1.529,0.691,0.638,0.646,35|62|63|64|65|66|67|68|69|70|71|72|73|74|77|78|79|80|91|94|97|98|149|152,2
indian_pines,23,mcuve,1.502,0.662,0.636,0.613,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|148|149|152,2
indian_pines,22,mcuve,1.543,0.603,0.526,0.544,62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|97,2
indian_pines,21,mcuve,1.499,0.666,0.61,0.618,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94,2
indian_pines,20,mcuve,1.569,0.666,0.59,0.617,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94,2
indian_pines,19,mcuve,1.578,0.61,0.514,0.548,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94,2
indian_pines,18,mcuve,1.523,0.604,0.516,0.542,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91,2
indian_pines,17,mcuve,1.654,0.609,0.517,0.547,62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|91,2
indian_pines,16,mcuve,1.498,0.57,0.48,0.501,62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80,2
indian_pines,15,mcuve,1.471,0.564,0.47,0.49,62|63|64|65|66|67|68|69|70|71|72|73|77|78|79,2
indian_pines,14,mcuve,1.534,0.562,0.479,0.49,62|65|66|67|68|69|70|71|72|73|77|78|79|80,2
indian_pines,13,mcuve,1.495,0.568,0.477,0.494,62|64|65|66|67|68|69|70|71|72|77|78|79,2
indian_pines,12,mcuve,1.497,0.565,0.474,0.491,62|67|68|69|70|71|72|73|77|78|79|80,2
indian_pines,11,mcuve,1.497,0.554,0.481,0.476,64|65|66|67|68|69|70|72|77|78|79,2
indian_pines,10,mcuve,1.512,0.536,0.442,0.453,62|65|66|67|68|69|70|71|72|78,2
