dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,20,mcuve,1.49,0.644,0.611,0.591,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|148|152||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|149||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|152||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|91|94|97|148||35|62|63|64|65|66|67|68|69|70|71|73|76|77|78|79|80|81|91|94||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94||56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|94|149||62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|91|94||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94
indian_pines,19,mcuve,1.51,0.614,0.553,0.555,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|94||35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91||56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|151||61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|94
indian_pines,18,mcuve,1.49,0.596,0.538,0.533,62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|151||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|91|94||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|94||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91||56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|91|94
indian_pines,17,mcuve,1.5,0.584,0.51,0.518,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80||61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80|91||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80||35|62|64|65|67|68|69|70|71|72|73|77|78|79|80|91|94||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80
indian_pines,16,mcuve,1.5,0.576,0.5,0.506,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79||35|62|65|68|69|70|71|72|73|77|78|79|80|91|94|97||62|63|64|65|66|67|68|69|70|71|73|76|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79|80
indian_pines,15,mcuve,1.48,0.562,0.481,0.489,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79||62|66|67|68|69|70|71|72|73|77|78|79|80|91|94||62|64|65|66|67|68|69|70|71|72|73|77|78|79|80||62|63|64|65|66|67|68|69|70|71|73|76|77|78|79||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78||62|63|64|65|66|67|68|69|70|71|72|73|76|77|78||62|63|64|65|66|67|68|69|70|71|72|73|77|78|79
indian_pines,14,mcuve,1.48,0.567,0.487,0.494,62|63|64|65|66|67|68|69|70|71|72|76|77|78||62|63|64|65|66|67|68|69|70|71|72|77|78|79||62|65|66|67|68|69|70|71|72|73|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|73|78|79||62|64|65|67|68|69|70|71|73|77|78|79|80|91||62|63|65|66|67|68|69|70|71|73|77|78|79|80||62|63|64|65|66|67|68|69|70|71|73|77|78|79||62|63|64|65|66|67|68|69|70|71|72|76|77|78||62|63|64|65|66|67|68|69|70|71|72|73|77|78||62|63|64|65|66|67|68|69|70|71|72|73|77|78
indian_pines,13,mcuve,1.5,0.554,0.461,0.476,62|63|64|65|66|67|68|69|70|71|76|77|78||62|63|64|65|66|67|68|69|70|71|72|73|77||62|64|65|66|67|68|69|70|71|72|77|78|79||62|63|64|65|66|67|68|69|70|71|72|73|78||62|63|64|65|66|67|68|69|70|71|72|77|78||62|63|64|65|66|67|68|69|70|71|73|76|77||62|63|64|65|66|67|68|69|70|71|72|77|78||62|63|64|65|66|67|68|69|70|71|72|73|77||62|63|64|65|66|67|68|69|70|71|72|76|77||62|63|64|65|66|67|68|69|70|71|77|78|79
indian_pines,12,mcuve,1.49,0.553,0.452,0.475,62|63|64|65|66|67|68|69|70|73|77|78||62|63|64|65|66|67|68|69|70|71|72|77||62|67|68|69|70|71|72|73|77|78|79|80||62|63|64|65|66|67|68|69|70|71|72|78||65|67|68|69|70|71|72|73|77|78|79|80||64|65|66|67|68|69|70|71|72|77|78|79||62|63|64|65|66|67|68|69|70|71|77|78||62|63|64|65|66|67|68|69|70|71|73|77||62|63|64|65|66|67|68|69|70|71|72|76||62|63|64|65|66|67|68|69|70|71|72|77
indian_pines,11,mcuve,1.49,0.55,0.441,0.47,62|63|64|65|66|67|68|69|70|71|72||62|63|64|65|66|67|68|69|70|71|72||64|65|66|67|68|69|70|72|77|78|79||62|65|66|67|68|69|70|71|72|73|78||62|65|67|68|69|70|71|72|77|78|79||62|65|66|67|68|69|70|71|73|77|78||62|63|64|65|66|67|68|69|70|71|77||62|63|64|65|66|67|68|69|70|71|72||62|63|64|65|66|67|68|69|70|71|78||62|64|65|66|67|68|69|70|71|77|78
indian_pines,10,mcuve,1.49,0.546,0.431,0.464,62|63|64|65|66|67|68|69|70|71||62|63|64|65|66|67|68|69|70|71||62|65|66|67|68|69|70|71|72|78||62|67|68|69|70|71|72|73|78|79||62|65|67|68|70|77|78|79|80|91||62|63|64|65|66|67|68|69|77|78||62|63|64|65|66|67|68|69|70|71||62|64|65|66|67|68|69|70|71|77||62|63|64|65|66|67|68|69|70|71||62|64|65|67|68|69|70|77|78|79
indian_pines,9,mcuve,1.5,0.537,0.41,0.451,62|63|64|65|66|67|68|69|70||62|63|64|65|66|67|68|70|71||62|65|66|67|68|69|70|72|77||65|67|68|69|70|71|72|78|79||62|65|67|68|69|70|71|77|78||65|66|67|68|69|70|71|77|78||62|63|64|65|66|67|68|69|70||62|64|65|66|67|68|69|70|77||62|63|64|65|66|67|68|69|70||62|64|65|67|68|69|70|71|77
indian_pines,8,mcuve,1.48,0.538,0.415,0.451,62|65|66|67|68|70|77|78||62|63|64|65|66|67|68|69||62|64|65|66|67|68|69|70||62|64|65|66|67|68|69|70||62|65|68|69|70|77|78|79||65|66|67|68|69|70|77|78||65|68|69|70|73|77|78|79||62|64|65|66|67|68|69|70||62|65|66|67|68|70|77|78||62|64|65|66|67|68|69|71
indian_pines,7,mcuve,1.5,0.536,0.4,0.449,62|64|65|66|67|68|69||64|65|66|67|68|69|70||62|70|73|77|78|79|80||66|67|68|69|70|71|72||70|72|77|78|79|80|91||65|67|68|69|70|77|78||65|66|67|68|69|70|77||62|63|64|65|66|67|68||63|64|65|66|67|68|69||62|65|67|68|70|72|78
indian_pines,6,mcuve,1.5,0.53,0.39,0.44,62|66|67|68|69|70||63|64|65|66|67|68||68|70|77|78|79|80||68|69|70|71|73|77||35|77|78|79|80|94||65|67|68|69|70|77||63|64|65|66|67|68||62|64|65|66|67|68||63|64|65|66|67|68||62|64|65|67|68|70
indian_pines,5,mcuve,1.48,0.514,0.36,0.418,62|67|68|69|70||62|65|66|67|68||68|69|78|79|80||68|69|70|71|72||73|77|78|79|80||65|66|67|68|71||64|65|66|67|68||64|65|66|67|68||62|63|64|65|66||62|64|65|67|68
