dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,bsnet,61.06,0.809,0.764,0.782,0|4|5|30|35|40|46|47|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|152|160|165|176|181|183|199,0
indian_pines,29,bsnet,0.0,0.803,0.761,0.775,0|4|5|30|35|40|46|47|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|152|160|165|176|183|199,0
indian_pines,28,bsnet,0.0,0.8,0.76,0.772,0|4|5|30|35|40|46|47|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|152|160|165|183|199,0
indian_pines,27,bsnet,0.0,0.798,0.76,0.769,0|4|5|30|35|40|46|47|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|152|165|183|199,0
indian_pines,26,bsnet,0.0,0.79,0.756,0.76,0|4|5|30|35|40|46|47|48|51|60|67|68|71|72|102|103|112|117|125|148|149|152|165|183|199,0
indian_pines,25,bsnet,0.0,0.769,0.755,0.736,0|4|5|35|40|46|47|48|51|60|67|68|71|72|102|103|112|117|125|148|149|152|165|183|199,0
indian_pines,24,bsnet,0.0,0.764,0.744,0.73,0|4|5|35|40|46|47|48|51|60|67|68|71|72|102|103|112|117|125|148|149|165|183|199,0
indian_pines,23,bsnet,0.0,0.778,0.786,0.747,0|4|5|35|40|46|47|48|51|60|67|68|71|72|102|103|112|117|125|148|149|165|183,0
indian_pines,22,bsnet,0.0,0.772,0.752,0.74,0|4|5|35|40|46|47|48|51|60|67|68|71|72|102|103|112|117|125|148|149|165,0
indian_pines,21,bsnet,0.0,0.783,0.785,0.752,0|4|5|35|40|46|47|48|51|60|67|68|71|72|103|112|117|125|148|149|165,0
indian_pines,20,bsnet,0.0,0.765,0.775,0.731,0|4|5|35|40|46|47|48|51|60|67|68|71|72|103|112|117|148|149|165,0
indian_pines,19,bsnet,0.0,0.765,0.768,0.731,0|4|5|35|40|46|48|51|60|67|68|71|72|103|112|117|148|149|165,0
indian_pines,18,bsnet,0.0,0.76,0.726,0.726,0|4|5|35|46|48|51|60|67|68|71|72|103|112|117|148|149|165,0
indian_pines,17,bsnet,0.0,0.75,0.757,0.714,0|4|35|46|48|51|60|67|68|71|72|103|112|117|148|149|165,0
indian_pines,16,bsnet,0.0,0.731,0.734,0.692,0|35|46|48|51|60|67|68|71|72|103|112|117|148|149|165,0
indian_pines,15,bsnet,0.0,0.733,0.734,0.695,0|35|46|48|60|67|68|71|72|103|112|117|148|149|165,0
indian_pines,14,bsnet,0.0,0.737,0.734,0.699,0|35|46|48|60|67|68|72|103|112|117|148|149|165,0
indian_pines,13,bsnet,0.0,0.737,0.757,0.699,0|35|46|48|60|67|68|103|112|117|148|149|165,0
indian_pines,12,bsnet,0.0,0.686,0.706,0.641,0|46|48|60|67|68|103|112|117|148|149|165,0
indian_pines,11,bsnet,0.0,0.679,0.699,0.633,0|46|48|60|67|103|112|117|148|149|165,0
indian_pines,10,bsnet,0.0,0.682,0.678,0.636,0|48|60|67|103|112|117|148|149|165,0
indian_pines,9,bsnet,0.0,0.668,0.675,0.619,0|48|60|103|112|117|148|149|165,0
indian_pines,8,bsnet,0.0,0.696,0.676,0.65,48|60|103|112|117|148|149|165,0
indian_pines,7,bsnet,0.0,0.672,0.63,0.622,48|60|103|112|117|148|149,0
indian_pines,6,bsnet,0.0,0.651,0.582,0.597,48|60|103|112|117|148,0
indian_pines,5,bsnet,0.0,0.611,0.519,0.546,60|103|112|117|148,0
indian_pines,30,bsnet,52.909,0.761,0.732,0.727,0|4|5|35|40|46|47|48|51|60|67|68|71|72|74|102|103|110|112|117|125|138|148|149|152|165|175|182|183|199,1
indian_pines,29,bsnet,0.0,0.774,0.775,0.741,0|4|5|35|40|46|47|48|51|60|67|68|71|72|74|102|103|110|112|117|125|138|148|149|152|165|175|182|183,1
indian_pines,28,bsnet,0.0,0.772,0.773,0.739,0|4|5|35|40|46|48|51|60|67|68|71|72|74|102|103|110|112|117|125|138|148|149|152|165|175|182|183,1
indian_pines,27,bsnet,0.0,0.774,0.772,0.742,0|4|5|35|40|46|48|51|60|67|68|71|72|74|102|103|112|117|125|138|148|149|152|165|175|182|183,1
indian_pines,26,bsnet,0.0,0.776,0.775,0.743,0|4|5|35|40|46|48|51|60|67|68|71|72|74|102|103|112|117|125|138|148|149|152|165|175|183,1
indian_pines,25,bsnet,0.0,0.767,0.765,0.734,0|4|5|35|40|46|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|152|165|175|183,1
indian_pines,24,bsnet,0.0,0.754,0.758,0.719,0|4|5|35|40|46|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|152|165|183,1
indian_pines,23,bsnet,0.0,0.763,0.742,0.728,0|4|5|35|40|46|48|51|60|67|68|71|72|102|103|112|117|125|148|149|152|165|183,1
indian_pines,22,bsnet,0.0,0.749,0.732,0.713,0|4|5|35|40|46|48|51|60|67|68|71|72|102|103|112|117|125|148|149|152|165,1
indian_pines,21,bsnet,0.0,0.76,0.743,0.726,0|4|5|35|40|46|48|51|60|67|68|71|72|102|103|112|117|125|148|149|165,1
indian_pines,20,bsnet,0.0,0.745,0.731,0.709,0|4|5|35|40|46|48|51|60|67|68|71|72|102|103|112|117|148|149|165,1
indian_pines,19,bsnet,0.0,0.755,0.754,0.72,4|5|35|40|46|48|51|60|67|68|71|72|102|103|112|117|148|149|165,1
indian_pines,18,bsnet,0.0,0.729,0.714,0.69,4|5|40|46|48|51|60|67|68|71|72|102|103|112|117|148|149|165,1
indian_pines,17,bsnet,0.0,0.735,0.702,0.698,4|5|40|46|48|51|60|67|68|71|72|103|112|117|148|149|165,1
indian_pines,16,bsnet,0.0,0.702,0.65,0.659,4|5|40|46|48|51|60|67|68|71|72|103|112|117|148|149,1
indian_pines,15,bsnet,0.0,0.708,0.658,0.667,4|5|46|48|51|60|67|68|71|72|103|112|117|148|149,1
indian_pines,14,bsnet,0.0,0.692,0.656,0.648,4|5|46|48|60|67|68|71|72|103|112|117|148|149,1
indian_pines,13,bsnet,0.0,0.696,0.659,0.653,4|5|46|48|60|67|71|72|103|112|117|148|149,1
indian_pines,12,bsnet,0.0,0.707,0.65,0.664,5|46|48|60|67|71|72|103|112|117|148|149,1
indian_pines,11,bsnet,0.0,0.687,0.628,0.64,46|48|60|67|71|72|103|112|117|148|149,1
indian_pines,10,bsnet,0.0,0.691,0.619,0.644,46|48|60|67|72|103|112|117|148|149,1
indian_pines,9,bsnet,0.0,0.676,0.596,0.626,46|48|60|72|103|112|117|148|149,1
indian_pines,8,bsnet,0.0,0.658,0.6,0.605,46|48|60|103|112|117|148|149,1
indian_pines,7,bsnet,0.0,0.651,0.578,0.597,48|60|103|112|117|148|149,1
indian_pines,6,bsnet,0.0,0.624,0.518,0.564,60|103|112|117|148|149,1
indian_pines,5,bsnet,0.0,0.634,0.491,0.573,60|103|112|117|148,1
indian_pines,30,bsnet,57.547,0.781,0.712,0.749,0|4|5|30|35|46|47|48|51|60|67|68|71|98|102|103|109|110|112|117|138|148|149|152|165|171|176|182|183|199,2
indian_pines,29,bsnet,0.0,0.777,0.713,0.745,0|4|5|30|35|46|47|48|51|60|67|68|71|98|102|103|109|112|117|138|148|149|152|165|171|176|182|183|199,2
indian_pines,28,bsnet,0.0,0.773,0.714,0.74,0|4|5|35|46|47|48|51|60|67|68|71|98|102|103|109|112|117|138|148|149|152|165|171|176|182|183|199,2
indian_pines,27,bsnet,0.0,0.756,0.7,0.72,0|4|5|35|46|47|48|51|60|67|68|71|98|102|103|109|112|117|138|148|149|152|165|171|182|183|199,2
indian_pines,26,bsnet,0.0,0.756,0.698,0.719,0|4|5|35|46|47|48|51|60|67|68|71|98|102|103|109|112|117|148|149|152|165|171|182|183|199,2
indian_pines,25,bsnet,0.0,0.746,0.69,0.709,0|4|5|35|46|47|48|51|60|67|68|71|98|102|103|112|117|148|149|152|165|171|182|183|199,2
indian_pines,24,bsnet,0.0,0.744,0.689,0.707,0|4|5|35|46|48|51|60|67|68|71|98|102|103|112|117|148|149|152|165|171|182|183|199,2
indian_pines,23,bsnet,0.0,0.725,0.679,0.685,0|4|5|35|46|48|51|60|67|68|71|98|102|103|112|117|148|149|152|165|182|183|199,2
indian_pines,22,bsnet,0.0,0.744,0.666,0.706,0|4|5|35|46|48|51|60|67|68|71|98|102|103|112|117|148|149|152|165|182|183,2
indian_pines,21,bsnet,0.0,0.741,0.641,0.703,0|4|5|35|46|48|51|60|67|68|71|102|103|112|117|148|149|152|165|182|183,2
indian_pines,20,bsnet,0.0,0.733,0.641,0.695,0|4|5|35|46|48|51|60|67|68|71|102|103|112|117|148|149|152|165|183,2
indian_pines,19,bsnet,0.0,0.725,0.636,0.685,0|4|5|35|46|48|51|60|67|68|71|102|103|112|117|148|149|165|183,2
indian_pines,18,bsnet,0.0,0.73,0.637,0.69,0|4|5|35|46|48|60|67|68|71|102|103|112|117|148|149|165|183,2
indian_pines,17,bsnet,0.0,0.73,0.64,0.691,0|4|5|35|46|60|67|68|71|102|103|112|117|148|149|165|183,2
indian_pines,16,bsnet,0.001,0.717,0.648,0.676,0|5|35|46|60|67|68|71|102|103|112|117|148|149|165|183,2
indian_pines,15,bsnet,0.0,0.716,0.647,0.674,0|5|35|46|60|67|71|102|103|112|117|148|149|165|183,2
indian_pines,14,bsnet,0.0,0.704,0.633,0.66,0|5|35|46|60|71|102|103|112|117|148|149|165|183,2
indian_pines,13,bsnet,0.0,0.709,0.635,0.666,0|5|35|60|71|102|103|112|117|148|149|165|183,2
indian_pines,12,bsnet,0.0,0.676,0.604,0.627,0|5|35|60|102|103|112|117|148|149|165|183,2
indian_pines,11,bsnet,0.0,0.646,0.558,0.593,0|35|60|102|103|112|117|148|149|165|183,2
indian_pines,10,bsnet,0.0,0.626,0.533,0.572,0|35|60|102|103|112|117|148|149|165,2
indian_pines,9,bsnet,0.0,0.661,0.582,0.612,35|60|102|103|112|117|148|149|165,2
indian_pines,8,bsnet,0.0,0.696,0.612,0.652,35|60|103|112|117|148|149|165,2
indian_pines,7,bsnet,0.0,0.669,0.559,0.62,35|60|103|112|117|148|149,2
indian_pines,6,bsnet,0.0,0.619,0.511,0.56,60|103|112|117|148|149,2
indian_pines,5,bsnet,0.0,0.568,0.423,0.494,103|112|117|148|149,2
indian_pines,30,bsnet,75.247,0.774,0.795,0.743,0|4|5|30|35|40|43|45|46|47|48|51|60|67|68|71|72|74|98|102|103|112|117|125|148|149|160|165|183|199,3
indian_pines,29,bsnet,0.0,0.77,0.771,0.738,0|4|5|30|35|40|43|45|46|47|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|160|165|183|199,3
indian_pines,28,bsnet,0.0,0.772,0.771,0.74,0|4|5|30|35|40|43|46|47|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|160|165|183|199,3
indian_pines,27,bsnet,0.0,0.785,0.771,0.755,0|4|5|30|35|40|43|46|47|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|160|165|183,3
indian_pines,26,bsnet,0.0,0.778,0.764,0.748,0|4|5|30|35|40|46|47|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|160|165|183,3
indian_pines,25,bsnet,0.0,0.783,0.777,0.753,0|4|5|30|35|40|46|47|48|51|60|67|68|71|72|74|102|103|112|117|125|148|149|165|183,3
indian_pines,24,bsnet,0.0,0.772,0.732,0.74,0|4|5|30|35|40|46|47|48|51|60|67|68|71|72|102|103|112|117|125|148|149|165|183,3
indian_pines,23,bsnet,0.0,0.764,0.725,0.73,0|4|5|30|35|40|46|47|48|51|60|67|68|71|72|102|103|112|117|148|149|165|183,3
indian_pines,22,bsnet,0.0,0.746,0.73,0.71,0|4|5|35|40|46|47|48|51|60|67|68|71|72|102|103|112|117|148|149|165|183,3
indian_pines,21,bsnet,0.0,0.734,0.714,0.697,0|4|5|35|40|46|47|48|51|60|67|68|71|72|102|103|112|117|148|149|165,3
indian_pines,20,bsnet,0.0,0.728,0.713,0.69,0|4|5|35|40|46|47|48|51|60|67|68|71|102|103|112|117|148|149|165,3
indian_pines,19,bsnet,0.0,0.731,0.703,0.694,0|5|35|40|46|47|48|51|60|67|68|71|102|103|112|117|148|149|165,3
indian_pines,18,bsnet,0.0,0.723,0.696,0.685,0|5|35|40|47|48|51|60|67|68|71|102|103|112|117|148|149|165,3
indian_pines,17,bsnet,0.0,0.711,0.674,0.671,0|5|35|47|48|51|60|67|68|71|102|103|112|117|148|149|165,3
indian_pines,16,bsnet,0.0,0.72,0.675,0.681,0|5|35|48|51|60|67|68|71|102|103|112|117|148|149|165,3
indian_pines,15,bsnet,0.0,0.724,0.693,0.686,0|5|35|48|51|60|67|68|102|103|112|117|148|149|165,3
