dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,30,v1,0.79,0.78,0.76,0
indian_pines,30,v1,0.77,0.73,0.74,1
indian_pines,30,v1,0.79,0.73,0.76,2
indian_pines,30,v1,0.78,0.74,0.75,3
indian_pines,30,v1,0.77,0.69,0.73,4
indian_pines,30,v1,0.78,0.71,0.75,5
indian_pines,30,v1,0.79,0.76,0.77,6
indian_pines,30,v1,0.79,0.72,0.76,7
indian_pines,30,v1,0.79,0.71,0.76,8
indian_pines,30,v1,0.77,0.71,0.74,9
indian_pines,30,v1,0.76,0.69,0.73,10
indian_pines,30,v1,0.79,0.77,0.77,11
indian_pines,30,v1,0.78,0.73,0.75,12
indian_pines,30,v1,0.79,0.74,0.76,13
indian_pines,30,v1,0.79,0.75,0.76,14
indian_pines,30,v1,0.78,0.69,0.75,15
indian_pines,30,v1,0.79,0.76,0.76,16
indian_pines,30,v1,0.8,0.75,0.77,17
indian_pines,30,v1,0.79,0.72,0.77,18
indian_pines,30,v1,0.8,0.71,0.77,19
indian_pines,29,v1,0.79,0.77,0.76,0
indian_pines,29,v1,0.78,0.74,0.75,1
indian_pines,29,v1,0.79,0.73,0.76,2
indian_pines,29,v1,0.78,0.74,0.75,3
indian_pines,29,v1,0.77,0.69,0.74,4
indian_pines,29,v1,0.79,0.72,0.76,5
indian_pines,29,v1,0.8,0.78,0.77,6
indian_pines,29,v1,0.79,0.72,0.76,7
indian_pines,29,v1,0.79,0.72,0.76,8
indian_pines,29,v1,0.78,0.73,0.75,9
indian_pines,29,v1,0.77,0.7,0.74,10
indian_pines,29,v1,0.8,0.77,0.77,11
indian_pines,29,v1,0.79,0.73,0.76,12
indian_pines,29,v1,0.79,0.75,0.76,13
indian_pines,29,v1,0.79,0.76,0.76,14
indian_pines,29,v1,0.78,0.69,0.75,15
indian_pines,29,v1,0.79,0.76,0.76,16
indian_pines,29,v1,0.8,0.75,0.77,17
indian_pines,29,v1,0.8,0.73,0.77,18
indian_pines,29,v1,0.8,0.71,0.77,19
indian_pines,28,v1,0.79,0.77,0.76,0
indian_pines,28,v1,0.77,0.74,0.74,1
indian_pines,28,v1,0.78,0.73,0.75,2
indian_pines,28,v1,0.78,0.74,0.75,3
indian_pines,28,v1,0.76,0.68,0.73,4
indian_pines,28,v1,0.78,0.72,0.75,5
indian_pines,28,v1,0.79,0.77,0.77,6
indian_pines,28,v1,0.78,0.71,0.75,7
indian_pines,28,v1,0.79,0.71,0.76,8
indian_pines,28,v1,0.77,0.72,0.74,9
indian_pines,28,v1,0.77,0.7,0.73,10
indian_pines,28,v1,0.79,0.77,0.76,11
indian_pines,28,v1,0.78,0.72,0.75,12
indian_pines,28,v1,0.79,0.75,0.76,13
