dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,v1,415.49,0.784,0.79,0.754,3|8|14|34|35|36|41|52|57|58|64|69|77|78|79|80|91|92|94|98|99|100|111|120|128|130|147|148|159|177
indian_pines,29,v1,0.0,0.783,0.794,0.753,3|8|14|34|35|36|41|52|57|58|64|69|77|79|80|91|92|94|98|99|100|111|120|128|130|147|148|159|177
indian_pines,28,v1,0.0,0.784,0.796,0.754,8|14|34|35|36|41|52|57|58|64|69|77|79|80|91|92|94|98|99|100|111|120|128|130|147|148|159|177
indian_pines,27,v1,0.0,0.786,0.8,0.756,8|14|34|35|36|41|52|57|58|64|69|77|79|80|91|94|98|99|100|111|120|128|130|147|148|159|177
indian_pines,26,v1,0.0,0.783,0.794,0.753,8|14|34|35|36|41|52|57|58|64|69|77|79|80|91|94|98|99|100|111|120|128|130|147|148|159
indian_pines,25,v1,0.0,0.762,0.775,0.728,8|14|34|35|36|41|52|57|58|64|69|77|79|80|91|94|98|99|100|111|120|128|130|147|148
indian_pines,24,v1,0.0,0.749,0.759,0.714,14|34|35|36|41|52|57|58|64|69|77|79|80|91|94|98|99|100|111|120|128|130|147|148
indian_pines,23,v1,0.0,0.751,0.764,0.717,14|34|35|36|41|52|57|58|64|69|77|79|80|91|94|98|99|111|120|128|130|147|148
indian_pines,22,v1,0.0,0.736,0.756,0.699,14|34|35|36|41|52|57|58|64|69|77|79|80|91|94|98|99|120|128|130|147|148
indian_pines,21,v1,0.0,0.73,0.75,0.693,14|34|35|36|41|52|57|58|64|69|77|79|80|91|94|98|99|128|130|147|148
indian_pines,20,v1,0.0,0.725,0.742,0.687,14|34|35|36|41|52|57|58|64|69|77|79|80|91|94|98|99|128|130|148
indian_pines,19,v1,0.0,0.723,0.738,0.685,14|34|35|36|41|52|57|58|64|69|77|79|91|94|98|99|128|130|148
indian_pines,18,v1,0.0,0.721,0.747,0.682,14|34|35|36|41|52|57|58|64|69|77|91|94|98|99|128|130|148
indian_pines,17,v1,0.0,0.705,0.731,0.666,34|35|36|41|52|57|58|64|69|77|91|94|98|99|128|130|148
indian_pines,16,v1,0.0,0.7,0.71,0.659,35|36|41|52|57|58|64|69|77|91|94|98|99|128|130|148
indian_pines,15,v1,0.0,0.701,0.713,0.66,35|36|41|52|57|64|69|77|91|94|98|99|128|130|148
indian_pines,14,v1,0.0,0.691,0.698,0.648,35|36|52|57|64|69|77|91|94|98|99|128|130|148
indian_pines,13,v1,0.0,0.693,0.684,0.649,35|36|57|64|69|77|91|94|98|99|128|130|148
indian_pines,12,v1,0.0,0.684,0.678,0.64,35|36|57|64|77|91|94|98|99|128|130|148
indian_pines,11,v1,0.0,0.68,0.683,0.636,35|36|57|64|77|91|94|98|99|128|148
indian_pines,10,v1,0.0,0.686,0.683,0.642,35|36|57|64|77|94|98|99|128|148
indian_pines,9,v1,0.0,0.691,0.701,0.647,35|36|64|77|94|98|99|128|148
indian_pines,8,v1,0.0,0.689,0.685,0.644,35|36|77|94|98|99|128|148
indian_pines,7,v1,0.0,0.685,0.657,0.641,36|77|94|98|99|128|148
indian_pines,6,v1,0.0,0.682,0.644,0.636,36|94|98|99|128|148
indian_pines,5,v1,0.0,0.691,0.645,0.647,36|94|99|128|148
