dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
paviaU,30,v47,1371.444,0.92,0.896,0.896,9|13|16|21|22|25|28|31|35|39|42|47|48|58|61|66|68|70|72|74|75|80|82|84|91|96|98|99|100|102,-0.7472989559173584|-1.573093056678772|-0.3478628098964691|-1.5639352798461914|-1.1390583515167236|0.23717734217643738|0.6034466624259949|-1.5047553777694702|0.0005035647773183882|8.034628081077244e-06|-0.6053955554962158|0.2259618043899536|0.4242643117904663|-1.5897551774978638|0.0006703354883939028|0.00015594526485074311|0.0027066138572990894|0.0007145825657062232|-0.3369704484939575|0.0003788360336329788|0.40066978335380554|-1.4317059516906738|-0.00014654510596301407|0.000935394549742341|0.00025014576385729015|2.0751511328853667e-05|0.5582975745201111|1.1830856800079346|-0.531933069229126|0.574647843837738
paviaU,29,v47,1364.304,0.92,0.896,0.896,12|18|21|22|24|29|30|38|43|46|50|55|60|64|67|72|73|75|80|81|82|84|85|91|95|96|98|101|102,0.00143472442869097|-0.0028305386658757925|0.35987865924835205|-0.0005154929822310805|-0.8032978177070618|-0.00429194699972868|0.0008152527152560651|-0.0012282839743420482|0.002454290399327874|0.0007441887282766402|-0.796537458896637|-0.0013899540062993765|-0.012436316348612309|-0.2782242000102997|0.005864914506673813|0.2897016704082489|-0.41987401247024536|-0.0010083785746246576|-0.0014000625815242529|0.011726144701242447|-0.0026266092900186777|-0.0030785452108830214|0.0030742748640477657|0.23960760235786438|-0.015011167153716087|-0.013042044825851917|0.0006350820185616612|0.0003438510757405311|0.5061168074607849
paviaU,28,v47,1351.741,0.924,0.901,0.901,6|9|15|21|24|30|31|42|44|48|49|54|61|62|65|68|69|72|75|77|81|82|84|85|90|95|97|101,-0.006623372435569763|0.001093352329917252|0.003119072876870632|0.0016565487021580338|-0.8030803799629211|0.00874082650989294|0.3188621401786804|0.0005307315732352436|0.0001294728135690093|0.0039711929857730865|0.0003513538686092943|-0.4518589377403259|-0.0020620657596737146|-0.010102175176143646|-0.0021247155964374542|0.34718310832977295|0.0060866898857057095|-0.0016383089823648334|-0.0014432707102969289|0.0006964250933378935|-0.40618541836738586|0.005062839016318321|-0.0029018979985266924|0.00802424643188715|0.0015850886702537537|0.0005084273871034384|-0.023063408210873604|-0.001002769684419036
paviaU,27,v47,1357.393,0.917,0.894,0.894,8|9|13|20|22|25|29|34|36|37|42|43|49|56|62|64|68|75|76|81|83|85|86|91|94|96|100,-0.0009377486421726644|-0.0011292124399915338|0.3068349063396454|0.0030964852776378393|-0.0037458008155226707|0.020882437005639076|-0.004690204281359911|-0.4220183193683624|0.4076598286628723|0.012288501486182213|0.016289304941892624|0.0017284821951761842|-0.004391348920762539|0.03318360075354576|0.0032764843199402094|0.00012630892160814255|0.016794903203845024|-0.000294603465590626|0.48379451036453247|-0.0023596356622874737|-0.001308854902163148|0.018987314775586128|-0.0009183508809655905|0.0020139547996222973|-0.00772103713825345|-0.009843477047979832|-0.0038026419933885336
paviaU,26,v47,1356.836,0.919,0.891,0.891,10|15|18|24|25|31|39|46|47|48|50|53|56|63|65|67|70|71|73|75|79|81|84|88|98|100,-0.2621694505214691|0.01275607105344534|0.003152721095830202|0.00624898262321949|-0.0076671261340379715|0.00688409898430109|0.015539100393652916|0.009606053121387959|-0.010411854833364487|-0.030050024390220642|0.008068650029599667|-0.7246336936950684|-0.008440624922513962|0.0035791085101664066|0.002727368613705039|0.003304494544863701|-0.0003900387091562152|0.005377042572945356|0.00066832808079198|0.002522991504520178|0.33962753415107727|-0.005734296515583992|-0.016269391402602196|-0.01074302103370428|-0.02453598938882351|0.004325049929320812
paviaU,25,v47,1363.066,0.916,0.894,0.894,6|10|16|17|18|21|32|33|37|44|49|54|62|64|67|71|74|76|81|82|89|92|93|94|96,0.0017186326440423727|0.0013213569764047861|0.023971939459443092|-0.00045669663813896477|0.0027718485798686743|0.0063821375370025635|-0.3591170608997345|0.00674675777554512|-0.5651926398277283|-0.005059753078967333|-0.0026330831460654736|-0.010357099585235119|0.0001732459495542571|0.019308462738990784|0.0027545683551579714|-0.0006731328321620822|0.004833841230720282|0.005060343071818352|0.0012151151895523071|-9.657277405494824e-05|0.013624011538922787|-0.03471739590167999|-0.026375724002718925|0.006353061646223068|-0.005219140090048313
paviaU,24,v47,1379.297,0.894,0.872,0.872,1|4|5|11|15|21|27|28|45|51|55|57|58|59|71|72|73|74|75|85|86|88|89|94,-0.022014429792761803|0.004390278831124306|-0.019908864051103592|-0.16114600002765656|-0.012518503703176975|0.016969263553619385|0.04159026965498924|-0.004007809795439243|0.041529424488544464|0.003761152271181345|-0.005250921938568354|0.006879805121570826|-0.014906801283359528|-0.008528529666364193|0.005275346338748932|0.010111202485859394|-0.007238555233925581|-0.352291464805603|-0.005838510114699602|0.002140897559002042|0.0005677310400642455|-0.3690093159675598|0.011929833330214024|0.013787594623863697
paviaU,23,v47,1357.869,0.922,0.898,0.898,5|9|12|19|26|28|32|41|54|63|64|69|72|73|78|82|84|85|89|91|97|100|102,0.004907515831291676|0.003725263522937894|-0.009254124015569687|0.014338887296617031|0.00017624368774704635|0.005706337746232748|-0.0004650333139579743|-0.006368960719555616|-0.0321943573653698|-0.011768658645451069|-0.00324411247856915|-0.012809217907488346|0.013655982911586761|0.26612037420272827|-0.0026950996834784746|0.017710478976368904|0.00457024434581399|0.005365744233131409|0.022354956716299057|0.013041660189628601|0.005455047823488712|-0.0038998315576463938|0.019465869292616844
paviaU,22,v47,1370.479,0.899,0.873,0.873,0|10|11|14|18|26|27|43|48|50|56|59|61|69|76|80|83|89|92|95|96|100,0.014054994098842144|0.14916600286960602|0.0014395155012607574|0.006675062235444784|-0.0021782948169857264|-0.008025768212974072|-0.012753620743751526|-0.005970231723040342|0.02167573571205139|0.005639452952891588|0.02425144612789154|-0.3560132384300232|-0.005216365214437246|-0.012467464432120323|-0.010460502468049526|0.011766624636948109|-0.0006485847989097238|-0.0019989246502518654|0.008423462510108948|0.000409364904044196|0.004046906251460314|-0.20421907305717468
paviaU,21,v47,1372.975,0.906,0.884,0.884,1|5|8|14|16|29|34|44|47|50|62|63|64|68|76|85|88|92|93|96|100,-0.02004382200539112|-0.3801354169845581|0.010877382941544056|-0.025263145565986633|-0.005468321498483419|-0.0008207332575693727|-0.008928246796131134|0.004484391305595636|-0.0011930919717997313|-0.0019578849896788597|-0.002757769078016281|0.004427083767950535|0.02278331108391285|-0.011569765396416187|-0.00929701142013073|-0.008511684834957123|0.01988198421895504|-0.012907802127301693|0.017159877344965935|-0.013552619144320488|-0.010393861681222916
