dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
salinas,30,pcal,0.116,0.91,0.945,0.945,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|72|73|74|75|156|159,0.2421038496822509|0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.2545794642192177|0.25790302334103987|0.2551651670194439|0.24055404111067752|0.23561398083198543|0.23654658839175635|0.23814019399795278|0.23801808149257944|0.23575235207262552|0.23686777771794265
salinas,29,pcal,0.0,0.91,0.944,0.944,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|73|74|75|156|159,0.2421038496822509|0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.2545794642192177|0.25790302334103987|0.2551651670194439|0.24055404111067752|0.23654658839175635|0.23814019399795278|0.23801808149257944|0.23575235207262552|0.23686777771794265
salinas,28,pcal,0.0,0.906,0.939,0.939,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|73|74|75|159,0.2421038496822509|0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.2545794642192177|0.25790302334103987|0.2551651670194439|0.24055404111067752|0.23654658839175635|0.23814019399795278|0.23801808149257944|0.23686777771794265
salinas,27,pcal,0.0,0.906,0.938,0.938,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|74|75|159,0.2421038496822509|0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.2545794642192177|0.25790302334103987|0.2551651670194439|0.24055404111067752|0.23814019399795278|0.23801808149257944|0.23686777771794265
salinas,26,pcal,0.0,0.883,0.919,0.919,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|74|75,0.2421038496822509|0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.2545794642192177|0.25790302334103987|0.2551651670194439|0.24055404111067752|0.23814019399795278|0.23801808149257944
salinas,25,pcal,0.0,0.882,0.917,0.917,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|74,0.2421038496822509|0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.2545794642192177|0.25790302334103987|0.2551651670194439|0.24055404111067752|0.23814019399795278
salinas,24,pcal,0.0,0.875,0.908,0.908,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62,0.2421038496822509|0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.2545794642192177|0.25790302334103987|0.2551651670194439|0.24055404111067752
salinas,23,pcal,0.0,0.871,0.906,0.906,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61,0.2421038496822509|0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.2545794642192177|0.25790302334103987|0.2551651670194439
salinas,22,pcal,0.0,0.862,0.896,0.896,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61,0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.2545794642192177|0.25790302334103987|0.2551651670194439
salinas,21,pcal,0.0,0.861,0.895,0.895,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|60|61,0.3012413511502243|0.306249598614395|0.3040645660804207|0.2995186757476911|0.29439648500828786|0.2910840994579132|0.2898282097653972|0.28740521546509057|0.2860122836584114|0.2794836569793169|0.27403826840366363|0.27254336145978103|0.27016505345890274|0.2682409349201958|0.26576777056843043|0.26297591027941597|0.26014067160434534|0.2596114803352315|0.25775341121514567|0.25790302334103987|0.2551651670194439
