dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,20,zhang,0.0,0.793,0.78,0.764,3|4|6|8|13|16|19|29|40|46|63|122|132|139|159|165|169|176|183|189||5|6|8|10|16|19|23|32|51|54|57|109|122|125|159|164|170|178|187|189||4|5|7|8|13|16|19|26|29|38|41|46|122|125|132|159|169|178|189|197||0|5|6|7|10|14|16|19|23|24|29|41|57|65|120|122|159|167|172|189||4|5|6|8|10|14|16|24|26|29|46|65|68|84|107|122|132|162|179|189||5|6|8|16|18|28|30|46|63|109|120|122|134|157|159|160|168|172|192|197||4|5|6|7|8|13|16|19|29|56|65|69|109|122|156|160|169|171|183|189||3|5|6|8|10|16|17|19|24|26|30|120|122|125|132|139|159|166|169|191||1|3|4|6|7|8|16|19|43|59|65|120|122|157|159|169|174|178|181|186||4|6|7|8|10|13|16|20|26|29|46|112|120|122|166|167|169|176|183|189
indian_pines,19,zhang,0.0,0.787,0.763,0.757,3|4|6|8|13|16|19|29|46|63|122|132|139|159|165|169|176|183|189||5|6|8|10|16|19|23|32|51|54|109|122|125|159|164|170|178|187|189||4|5|7|8|13|16|19|26|29|38|46|122|125|132|159|169|178|189|197||0|5|6|7|10|14|16|19|23|24|29|41|57|65|120|159|167|172|189||4|5|6|8|10|14|16|24|26|29|65|68|84|107|122|132|162|179|189||5|6|8|16|18|28|30|46|63|109|120|122|134|157|159|160|168|192|197||4|5|6|7|8|13|16|19|29|56|65|69|109|122|156|160|171|183|189||3|5|6|8|16|17|19|24|26|30|120|122|125|132|139|159|166|169|191||1|3|4|6|7|8|16|19|43|59|65|122|157|159|169|174|178|181|186||4|6|7|8|10|13|16|20|26|29|46|120|122|166|167|169|176|183|189
indian_pines,18,zhang,0.0,0.786,0.757,0.755,3|4|6|8|13|16|19|29|46|63|132|139|159|165|169|176|183|189||5|6|8|10|16|19|23|32|51|54|109|122|125|159|170|178|187|189||4|5|7|8|13|16|19|26|29|38|46|122|125|159|169|178|189|197||0|5|6|7|14|16|19|23|24|29|41|57|65|120|159|167|172|189||4|5|6|8|10|14|16|24|26|29|65|68|107|122|132|162|179|189||5|6|8|16|18|30|46|63|109|120|122|134|157|159|160|168|192|197||4|5|6|7|8|13|16|19|29|56|65|69|122|156|160|171|183|189||3|6|8|16|17|19|24|26|30|120|122|125|132|139|159|166|169|191||1|3|4|6|7|8|16|19|43|59|65|122|157|159|174|178|181|186||4|6|7|8|10|13|16|20|26|29|46|120|122|166|167|169|183|189
indian_pines,17,zhang,0.0,0.784,0.757,0.753,3|4|6|8|13|16|19|29|46|63|132|139|159|165|169|183|189||5|6|8|10|16|19|23|32|54|109|122|125|159|170|178|187|189||4|5|7|8|13|16|19|26|29|46|122|125|159|169|178|189|197||0|5|6|7|14|16|19|23|24|29|41|57|65|120|167|172|189||4|5|6|8|10|14|16|24|26|29|65|68|107|122|132|162|189||5|6|8|16|18|30|46|63|109|120|122|134|157|159|160|168|192||4|5|6|7|8|13|16|19|29|56|65|122|156|160|171|183|189||3|6|8|16|19|24|26|30|120|122|125|132|139|159|166|169|191||1|3|4|6|7|8|16|19|43|59|65|122|157|159|174|181|186||4|6|7|8|10|13|16|20|26|29|46|120|122|166|167|169|189
indian_pines,16,zhang,0.0,0.781,0.749,0.75,3|4|6|8|13|16|19|29|46|132|139|159|165|169|183|189||5|6|8|10|16|19|23|32|54|109|122|125|159|170|187|189||4|5|7|8|16|19|26|29|46|122|125|159|169|178|189|197||0|5|6|7|14|19|23|24|29|41|57|65|120|167|172|189||4|5|6|8|10|14|16|24|26|29|65|68|122|132|162|189||5|6|8|16|18|30|46|109|120|122|134|157|159|160|168|192||4|5|6|7|8|13|16|19|29|56|65|122|156|160|171|189||3|6|8|16|19|24|26|30|120|122|125|132|139|159|166|169||3|4|6|7|8|16|19|43|59|65|122|157|159|174|181|186||4|6|7|8|10|13|16|20|29|46|120|122|166|167|169|189
indian_pines,15,zhang,0.0,0.785,0.751,0.754,3|4|6|8|13|19|29|46|132|139|159|165|169|183|189||5|6|8|10|16|19|23|32|54|109|122|125|159|170|189||4|5|7|8|16|19|26|29|46|125|159|169|178|189|197||5|6|7|14|19|23|24|29|41|57|65|120|167|172|189||4|5|6|8|14|16|24|26|29|65|68|122|132|162|189||5|6|8|16|18|30|46|109|120|122|134|159|160|168|192||4|5|6|7|8|13|16|19|29|65|122|156|160|171|189||3|6|8|16|19|24|26|120|122|125|132|139|159|166|169||3|4|6|7|8|16|19|43|65|122|157|159|174|181|186||4|6|7|8|10|13|16|29|46|120|122|166|167|169|189
indian_pines,14,zhang,0.0,0.774,0.731,0.742,3|4|6|8|13|19|29|46|139|159|165|169|183|189||5|6|8|10|16|19|32|54|109|122|125|159|170|189||4|5|7|8|16|19|26|29|46|159|169|178|189|197||5|6|7|14|19|23|24|29|57|65|120|167|172|189||4|5|6|8|14|16|24|26|29|68|122|132|162|189||5|6|8|16|18|30|46|109|120|122|134|160|168|192||4|5|6|7|8|13|16|19|29|65|122|156|160|171||3|6|8|16|19|24|26|120|122|132|139|159|166|169||3|4|6|7|8|16|19|43|65|122|157|159|174|181||4|6|7|8|13|16|29|46|120|122|166|167|169|189
indian_pines,13,zhang,0.0,0.764,0.713,0.729,3|4|6|8|13|19|29|46|139|165|169|183|189||5|6|8|10|16|19|32|54|109|125|159|170|189||4|5|7|8|16|19|29|46|159|169|178|189|197||5|6|7|14|19|23|24|29|57|65|167|172|189||4|5|6|8|14|16|24|26|29|122|132|162|189||5|6|8|16|18|30|46|120|122|134|160|168|192||4|6|7|8|13|16|19|29|65|122|156|160|171||3|6|8|16|19|24|26|120|122|132|159|166|169||3|4|6|7|8|16|19|65|122|157|159|174|181||4|6|7|8|13|16|29|46|120|166|167|169|189
indian_pines,12,zhang,0.0,0.75,0.687,0.713,3|4|6|8|13|19|29|46|165|169|183|189||5|6|8|10|16|19|32|109|125|159|170|189||4|5|7|8|16|19|29|46|159|169|178|189||5|6|7|14|19|23|24|29|65|167|172|189||4|5|6|8|14|16|24|26|29|122|132|189||5|6|8|16|30|46|120|122|134|160|168|192||4|6|7|8|13|16|19|29|122|156|160|171||3|6|8|16|19|24|26|122|132|159|166|169||3|4|6|7|8|16|19|65|122|157|159|174||4|6|7|8|13|16|29|46|120|166|169|189
indian_pines,11,zhang,0.0,0.735,0.661,0.696,3|4|6|8|13|19|46|165|169|183|189||5|6|8|10|16|19|32|109|159|170|189||5|7|8|16|19|29|46|159|169|178|189||5|6|7|14|19|23|24|29|167|172|189||4|5|6|8|14|16|24|29|122|132|189||5|6|8|16|30|46|120|122|160|168|192||4|6|7|8|13|16|19|29|122|156|171||3|6|8|16|19|24|26|122|132|159|169||4|6|7|8|16|19|65|122|157|159|174||4|6|7|8|13|16|29|46|120|169|189
indian_pines,10,zhang,0.0,0.725,0.666,0.685,3|4|6|8|13|19|46|169|183|189||5|6|8|10|16|19|109|159|170|189||5|7|8|16|19|29|46|159|178|189||5|6|7|14|19|24|29|167|172|189||4|5|6|8|14|16|24|29|122|189||5|6|8|16|30|46|120|122|160|168||4|6|7|8|13|16|19|29|122|171||3|6|8|16|19|26|122|132|159|169||4|6|7|8|16|19|65|122|159|174||4|6|7|8|13|16|29|120|169|189
indian_pines,9,zhang,0.0,0.709,0.638,0.665,3|4|6|8|19|46|169|183|189||5|6|8|10|16|19|109|170|189||5|7|16|19|29|46|159|178|189||5|6|7|14|19|29|167|172|189||4|5|6|8|16|24|29|122|189||5|6|8|16|30|46|120|160|168||4|6|7|8|13|16|19|29|122||3|6|8|16|19|26|122|132|169||4|6|7|8|16|19|122|159|174||4|6|7|8|13|16|29|169|189
indian_pines,8,zhang,0.0,0.685,0.608,0.637,3|4|6|8|46|169|183|189||5|6|8|10|16|19|109|189||5|7|16|19|29|46|159|189||5|6|7|14|19|29|172|189||4|5|6|8|16|29|122|189||5|6|8|16|30|120|160|168||4|6|7|8|13|16|19|29||3|6|8|16|19|26|132|169||4|6|7|8|16|19|122|159||4|6|7|8|13|16|29|169
indian_pines,7,zhang,0.0,0.668,0.576,0.617,3|4|6|8|46|169|183||5|6|8|10|16|19|189||5|7|16|19|29|46|189||5|6|7|14|29|172|189||4|5|6|8|16|29|189||5|6|8|16|30|120|168||4|6|7|8|13|16|29||3|6|16|19|26|132|169||6|7|8|16|19|122|159||4|6|7|8|16|29|169
indian_pines,6,zhang,0.0,0.617,0.513,0.554,3|4|6|8|169|183||5|6|8|10|16|19||5|7|16|29|46|189||5|6|7|14|29|172||4|5|6|8|16|29||5|6|8|16|30|168||4|6|7|8|13|16||3|6|16|19|26|132||6|7|8|16|122|159||4|6|7|8|16|29
indian_pines,5,zhang,0.0,0.567,0.439,0.49,3|4|6|8|169||5|6|8|10|19||5|7|16|29|189||5|6|7|29|172||4|5|6|8|29||5|6|8|30|168||4|6|7|13|16||3|6|19|26|132||6|7|8|122|159||4|6|7|8|16
