dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,zhang,159.462,0.826,0.865,0.802,3|4|6|8|13|16|18|19|26|28|29|30|40|46|63|68|73|120|122|132|134|139|151|159|165|169|175|176|183|189,0
indian_pines,29,zhang,0.0,0.828,0.866,0.804,3|4|6|8|13|16|19|26|28|29|30|40|46|63|68|73|120|122|132|134|139|151|159|165|169|175|176|183|189,0
indian_pines,28,zhang,0.0,0.828,0.85,0.805,3|4|6|8|13|16|19|26|28|29|30|40|46|63|68|73|120|122|132|134|139|151|159|165|169|176|183|189,0
indian_pines,27,zhang,0.0,0.824,0.849,0.8,3|4|6|8|13|16|19|26|29|30|40|46|63|68|73|120|122|132|134|139|151|159|165|169|176|183|189,0
indian_pines,26,zhang,0.0,0.821,0.845,0.796,3|4|6|8|13|16|19|26|29|30|40|46|63|68|120|122|132|134|139|151|159|165|169|176|183|189,0
indian_pines,25,zhang,0.0,0.83,0.829,0.807,3|4|6|8|13|16|19|29|30|40|46|63|68|120|122|132|134|139|151|159|165|169|176|183|189,0
indian_pines,24,zhang,0.0,0.826,0.826,0.802,3|4|6|8|13|16|19|29|30|40|46|63|120|122|132|134|139|151|159|165|169|176|183|189,0
indian_pines,23,zhang,0.0,0.832,0.828,0.809,3|4|6|8|13|16|19|29|30|40|46|63|120|122|132|139|151|159|165|169|176|183|189,0
indian_pines,22,zhang,0.0,0.828,0.825,0.805,3|4|6|8|13|16|19|29|30|40|46|63|122|132|139|151|159|165|169|176|183|189,0
indian_pines,21,zhang,0.0,0.833,0.853,0.81,3|4|6|8|13|16|19|29|30|40|46|63|122|132|139|159|165|169|176|183|189,0
indian_pines,20,zhang,0.0,0.83,0.853,0.806,3|4|6|8|13|16|19|29|40|46|63|122|132|139|159|165|169|176|183|189,0
indian_pines,19,zhang,0.0,0.821,0.842,0.796,3|4|6|8|13|16|19|29|46|63|122|132|139|159|165|169|176|183|189,0
