dataset,target_size,algorithm,oa,aa,k,fold
paviaU,30,v3,0.92,0.91,0.9,0
paviaU,30,v3,0.92,0.9,0.9,1
paviaU,30,v3,0.92,0.9,0.9,2
paviaU,30,v3,0.92,0.9,0.89,3
paviaU,30,v3,0.92,0.89,0.89,4
paviaU,30,v3,0.92,0.9,0.9,5
paviaU,30,v3,0.92,0.89,0.89,6
paviaU,30,v3,0.93,0.91,0.9,7
paviaU,30,v3,0.92,0.89,0.89,8
paviaU,30,v3,0.92,0.89,0.89,9
paviaU,30,v3,0.92,0.9,0.9,10
paviaU,30,v3,0.92,0.9,0.9,11
paviaU,30,v3,0.93,0.9,0.9,12
paviaU,30,v3,0.92,0.91,0.9,13
paviaU,30,v3,0.92,0.89,0.89,14
paviaU,30,v3,0.91,0.89,0.88,15
paviaU,30,v3,0.92,0.9,0.9,16
paviaU,30,v3,0.92,0.9,0.9,17
paviaU,30,v3,0.92,0.9,0.89,18
paviaU,30,v3,0.93,0.9,0.9,19
paviaU,29,v3,0.92,0.91,0.9,0
paviaU,29,v3,0.92,0.9,0.9,1
paviaU,29,v3,0.92,0.9,0.9,2
paviaU,29,v3,0.92,0.9,0.89,3
paviaU,29,v3,0.92,0.89,0.89,4
paviaU,29,v3,0.92,0.9,0.9,5
paviaU,29,v3,0.92,0.89,0.89,6
paviaU,29,v3,0.93,0.91,0.9,7
paviaU,29,v3,0.92,0.9,0.89,8
paviaU,29,v3,0.92,0.89,0.9,9
paviaU,29,v3,0.92,0.9,0.9,10
paviaU,29,v3,0.92,0.9,0.9,11
paviaU,29,v3,0.93,0.9,0.9,12
paviaU,29,v3,0.92,0.91,0.9,13
paviaU,29,v3,0.92,0.89,0.89,14
paviaU,29,v3,0.92,0.89,0.89,15
paviaU,29,v3,0.92,0.9,0.9,16
paviaU,29,v3,0.92,0.9,0.9,17
paviaU,29,v3,0.92,0.9,0.89,18
paviaU,29,v3,0.93,0.9,0.9,19
paviaU,28,v3,0.93,0.91,0.9,0
paviaU,28,v3,0.92,0.9,0.9,1
paviaU,28,v3,0.92,0.9,0.9,2
paviaU,28,v3,0.92,0.9,0.89,3
paviaU,28,v3,0.92,0.89,0.89,4
paviaU,28,v3,0.92,0.89,0.9,5
paviaU,28,v3,0.92,0.89,0.89,6
paviaU,28,v3,0.93,0.91,0.9,7
paviaU,28,v3,0.92,0.9,0.89,8
paviaU,28,v3,0.92,0.89,0.9,9
paviaU,28,v3,0.92,0.9,0.9,10
paviaU,28,v3,0.92,0.9,0.9,11
paviaU,28,v3,0.93,0.9,0.9,12
paviaU,28,v3,0.92,0.9,0.9,13
paviaU,28,v3,0.92,0.89,0.89,14
paviaU,28,v3,0.92,0.89,0.89,15
paviaU,28,v3,0.92,0.9,0.9,16
paviaU,28,v3,0.92,0.9,0.9,17
paviaU,28,v3,0.92,0.9,0.89,18
paviaU,28,v3,0.93,0.9,0.9,19
paviaU,27,v3,0.92,0.9,0.9,0
paviaU,27,v3,0.92,0.9,0.9,1
paviaU,27,v3,0.92,0.9,0.9,2
paviaU,27,v3,0.92,0.89,0.89,3
paviaU,27,v3,0.92,0.9,0.89,4
paviaU,27,v3,0.92,0.9,0.9,5
paviaU,27,v3,0.92,0.89,0.9,6
paviaU,27,v3,0.93,0.91,0.9,7
paviaU,27,v3,0.92,0.9,0.89,8
paviaU,27,v3,0.92,0.89,0.9,9
paviaU,27,v3,0.92,0.9,0.9,10
paviaU,27,v3,0.92,0.9,0.9,11
paviaU,27,v3,0.92,0.89,0.9,12
paviaU,27,v3,0.92,0.9,0.9,13
paviaU,27,v3,0.91,0.89,0.89,14
paviaU,27,v3,0.91,0.89,0.88,15
paviaU,27,v3,0.93,0.9,0.9,16
paviaU,27,v3,0.92,0.9,0.89,17
paviaU,27,v3,0.92,0.9,0.89,18
paviaU,27,v3,0.92,0.9,0.9,19
paviaU,26,v3,0.92,0.9,0.9,0
paviaU,26,v3,0.92,0.9,0.9,1
paviaU,26,v3,0.92,0.9,0.9,2
paviaU,26,v3,0.92,0.9,0.89,3
paviaU,26,v3,0.92,0.9,0.89,4
paviaU,26,v3,0.93,0.9,0.9,5
paviaU,26,v3,0.92,0.89,0.9,6
paviaU,26,v3,0.93,0.91,0.9,7
paviaU,26,v3,0.92,0.9,0.9,8
paviaU,26,v3,0.92,0.9,0.9,9
paviaU,26,v3,0.92,0.9,0.9,10
paviaU,26,v3,0.93,0.9,0.9,11
paviaU,26,v3,0.92,0.89,0.9,12
paviaU,26,v3,0.92,0.9,0.9,13
paviaU,26,v3,0.92,0.89,0.89,14
paviaU,26,v3,0.91,0.89,0.88,15
paviaU,26,v3,0.93,0.9,0.9,16
paviaU,26,v3,0.92,0.89,0.89,17
paviaU,26,v3,0.92,0.9,0.9,18
paviaU,26,v3,0.92,0.9,0.9,19
paviaU,25,v3,0.93,0.91,0.9,0
paviaU,25,v3,0.92,0.9,0.9,1
paviaU,25,v3,0.92,0.9,0.9,2
paviaU,25,v3,0.92,0.89,0.89,3
paviaU,25,v3,0.92,0.9,0.9,4
paviaU,25,v3,0.93,0.9,0.9,5
paviaU,25,v3,0.92,0.89,0.9,6
paviaU,25,v3,0.93,0.91,0.9,7
paviaU,25,v3,0.92,0.9,0.9,8
paviaU,25,v3,0.92,0.9,0.9,9
paviaU,25,v3,0.92,0.9,0.9,10
paviaU,25,v3,0.93,0.9,0.9,11
paviaU,25,v3,0.92,0.9,0.9,12
paviaU,25,v3,0.92,0.91,0.9,13
paviaU,25,v3,0.92,0.89,0.89,14
paviaU,25,v3,0.91,0.89,0.88,15
paviaU,25,v3,0.92,0.9,0.9,16
paviaU,25,v3,0.92,0.9,0.89,17
paviaU,25,v3,0.92,0.91,0.9,18
paviaU,25,v3,0.92,0.9,0.9,19
paviaU,24,v3,0.93,0.91,0.91,0
paviaU,24,v3,0.92,0.9,0.9,1
paviaU,24,v3,0.92,0.9,0.89,2
paviaU,24,v3,0.92,0.9,0.89,3
paviaU,24,v3,0.92,0.9,0.9,4
paviaU,24,v3,0.93,0.9,0.9,5
paviaU,24,v3,0.92,0.89,0.9,6
paviaU,24,v3,0.93,0.91,0.9,7
paviaU,24,v3,0.92,0.9,0.9,8
paviaU,24,v3,0.92,0.9,0.9,9
paviaU,24,v3,0.92,0.9,0.9,10
paviaU,24,v3,0.93,0.9,0.9,11
paviaU,24,v3,0.93,0.9,0.9,12
paviaU,24,v3,0.92,0.91,0.9,13
paviaU,24,v3,0.92,0.89,0.89,14
paviaU,24,v3,0.91,0.89,0.89,15
paviaU,24,v3,0.93,0.9,0.9,16
paviaU,24,v3,0.92,0.9,0.9,17
paviaU,24,v3,0.92,0.9,0.9,18
paviaU,24,v3,0.93,0.9,0.9,19
paviaU,23,v3,0.93,0.91,0.91,0
paviaU,23,v3,0.92,0.9,0.9,1
paviaU,23,v3,0.92,0.9,0.89,2
paviaU,23,v3,0.92,0.9,0.89,3
paviaU,23,v3,0.92,0.9,0.9,4
paviaU,23,v3,0.93,0.9,0.9,5
