dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,v12,505.576,0.793,0.748,0.764,17|18|21|24|25|35|36|37|42|53|57|70|74|77|84|85|87|89|94|96|108|109|110|144|147|173|179|185|189|198,0
indian_pines,29,v12,0.0,0.791,0.745,0.761,17|18|21|24|25|35|36|37|42|53|57|70|74|77|84|85|87|89|96|108|109|110|144|147|173|179|185|189|198,0
indian_pines,28,v12,0.0,0.78,0.755,0.749,17|18|21|24|25|35|36|37|42|53|57|70|74|77|84|85|89|96|108|109|110|144|147|173|179|185|189|198,0
indian_pines,27,v12,0.0,0.777,0.753,0.745,17|18|21|24|25|35|36|37|42|53|70|74|77|84|85|89|96|108|109|110|144|147|173|179|185|189|198,0
indian_pines,26,v12,0.0,0.793,0.785,0.763,17|18|21|24|25|35|36|37|42|53|70|74|77|84|85|89|96|108|109|110|144|147|173|179|185|189,0
indian_pines,25,v12,0.0,0.79,0.781,0.76,17|18|21|24|25|35|36|37|53|70|74|77|84|85|89|96|108|109|110|144|147|173|179|185|189,0
indian_pines,24,v12,0.0,0.782,0.778,0.751,17|18|21|24|25|35|36|37|53|70|74|77|84|85|89|96|109|110|144|147|173|179|185|189,0
indian_pines,23,v12,0.0,0.791,0.784,0.762,17|18|21|24|25|35|36|37|53|70|77|84|85|89|96|109|110|144|147|173|179|185|189,0
indian_pines,22,v12,0.0,0.795,0.787,0.765,17|18|21|24|25|35|36|37|53|70|77|84|85|89|96|109|110|144|147|173|185|189,0
indian_pines,21,v12,0.0,0.78,0.771,0.749,17|18|21|24|25|35|36|37|53|77|84|85|89|96|109|110|144|147|173|185|189,0
indian_pines,20,v12,0.0,0.767,0.74,0.734,17|18|21|24|25|36|37|53|77|84|85|89|96|109|110|144|147|173|185|189,0
indian_pines,19,v12,0.0,0.769,0.739,0.736,17|18|21|25|36|37|53|77|84|85|89|96|109|110|144|147|173|185|189,0
indian_pines,18,v12,0.0,0.787,0.777,0.756,17|18|21|25|36|37|53|77|84|85|89|96|109|110|147|173|185|189,0
indian_pines,17,v12,0.0,0.786,0.78,0.756,17|21|25|36|37|53|77|84|85|89|96|109|110|147|173|185|189,0
indian_pines,16,v12,0.0,0.78,0.774,0.748,17|21|25|36|37|53|77|84|85|89|96|109|147|173|185|189,0
indian_pines,15,v12,0.0,0.782,0.756,0.75,17|21|36|37|53|77|84|85|89|96|109|147|173|185|189,0
indian_pines,14,v12,0.0,0.788,0.755,0.757,17|21|36|37|53|77|84|85|89|96|109|147|173|185,0
indian_pines,13,v12,0.0,0.774,0.742,0.741,17|21|36|37|53|77|84|85|89|96|109|147|185,0
indian_pines,12,v12,0.0,0.774,0.741,0.741,17|21|36|37|53|84|85|89|96|109|147|185,0
indian_pines,11,v12,0.0,0.798,0.757,0.769,17|21|36|37|53|84|85|96|109|147|185,0
indian_pines,10,v12,0.0,0.778,0.758,0.746,17|21|36|37|53|84|85|96|109|185,0
indian_pines,9,v12,0.0,0.765,0.748,0.73,17|21|36|37|84|85|96|109|185,0
indian_pines,8,v12,0.0,0.739,0.715,0.701,21|36|37|84|85|96|109|185,0
indian_pines,7,v12,0.0,0.723,0.705,0.682,21|36|37|84|85|96|109,0
indian_pines,6,v12,0.0,0.715,0.706,0.672,21|37|84|85|96|109,0
indian_pines,5,v12,0.0,0.718,0.684,0.675,21|37|85|96|109,0
