fold,dataset,oa,aa,k
0,salinas,0.919,0.96,0.91
1,salinas,0.917,0.957,0.907
2,salinas,0.919,0.958,0.91
3,salinas,0.914,0.959,0.904
4,salinas,0.922,0.959,0.913
5,salinas,0.915,0.954,0.905
6,salinas,0.919,0.958,0.91
7,salinas,0.921,0.96,0.912
8,salinas,0.916,0.957,0.906
9,salinas,0.922,0.962,0.914
