dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
salinas,30,pcal,0.168,0.912,0.945,0.902,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|72|73|74|75|156|159,0
salinas,29,pcal,0.0,0.91,0.944,0.9,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|73|74|75|156|159,0
salinas,28,pcal,0.0,0.906,0.939,0.895,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|73|74|75|159,0
salinas,27,pcal,0.0,0.903,0.938,0.892,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|74|75|159,0
salinas,26,pcal,0.0,0.88,0.914,0.866,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|74|75,0
salinas,25,pcal,0.0,0.88,0.914,0.866,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|74,0
salinas,24,pcal,0.0,0.873,0.905,0.858,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62,0
salinas,23,pcal,0.0,0.869,0.901,0.854,39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61,0
salinas,22,pcal,0.0,0.861,0.895,0.845,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61,0
salinas,21,pcal,0.0,0.86,0.895,0.844,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|60|61,0
salinas,20,pcal,0.0,0.858,0.892,0.841,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|60,0
salinas,19,pcal,0.0,0.856,0.889,0.839,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|60,0
salinas,18,pcal,0.0,0.847,0.882,0.829,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57,0
salinas,17,pcal,0.0,0.843,0.878,0.825,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56,0
salinas,16,pcal,0.0,0.84,0.875,0.822,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55,0
salinas,15,pcal,0.0,0.838,0.871,0.82,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54,0
