dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,5,v0,0.51,0.37,0.43,0
indian_pines,5,v0,0.5,0.37,0.42,1
indian_pines,5,v0,0.53,0.39,0.45,2
indian_pines,5,v0,0.49,0.34,0.41,3
indian_pines,5,v0,0.51,0.39,0.42,4
indian_pines,5,v0,0.51,0.37,0.42,5
indian_pines,5,v0,0.5,0.36,0.42,6
indian_pines,5,v0,0.51,0.35,0.43,7
indian_pines,5,v0,0.52,0.4,0.44,8
indian_pines,5,v0,0.51,0.37,0.43,9
indian_pines,5,v0,0.51,0.37,0.43,10
indian_pines,5,v0,0.51,0.37,0.43,11
indian_pines,5,v0,0.51,0.35,0.43,12
indian_pines,5,v0,0.52,0.36,0.43,13
indian_pines,5,v0,0.52,0.36,0.44,14
indian_pines,5,v0,0.52,0.38,0.43,15
indian_pines,5,v0,0.51,0.38,0.43,16
indian_pines,5,v0,0.52,0.39,0.44,17
indian_pines,5,v0,0.52,0.37,0.44,18
indian_pines,5,v0,0.51,0.35,0.42,19
