dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
salinas,30,v0,2488.789,0.92,0.959,0.959,3|5|8|10|13|15|17|21|24|27|30|33|50|106|108|110|115|120|126|135|143|150|152|154|164|170|174|176|187|201,0.4950559139251709|0.4955325126647949|0.5236579179763794|0.6687519550323486|0.6911852359771729|0.592849850654602|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7075411081314087|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.5464833974838257|0.7767242193222046|0.6495012044906616|0.7880667448043823|0.3342982232570648|0.46184661984443665|0.6947509050369263|0.779582142829895|0.8661649823188782|0.6174159049987793|0.7031896710395813|0.49472934007644653|0.7607628107070923
salinas,29,v0,0.0,0.912,0.956,0.956,3|5|8|10|13|15|17|21|24|27|30|33|106|108|110|115|120|126|135|143|150|152|154|164|170|174|176|187|201,0.4950559139251709|0.4955325126647949|0.5236579179763794|0.6687519550323486|0.6911852359771729|0.592849850654602|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.5464833974838257|0.7767242193222046|0.6495012044906616|0.7880667448043823|0.3342982232570648|0.46184661984443665|0.6947509050369263|0.779582142829895|0.8661649823188782|0.6174159049987793|0.7031896710395813|0.49472934007644653|0.7607628107070923
salinas,28,v0,0.0,0.911,0.955,0.955,3|5|8|10|13|15|17|21|24|27|30|33|106|108|110|115|126|135|143|150|152|154|164|170|174|176|187|201,0.4950559139251709|0.4955325126647949|0.5236579179763794|0.6687519550323486|0.6911852359771729|0.592849850654602|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.7880667448043823|0.3342982232570648|0.46184661984443665|0.6947509050369263|0.779582142829895|0.8661649823188782|0.6174159049987793|0.7031896710395813|0.49472934007644653|0.7607628107070923
salinas,27,v0,0.0,0.912,0.955,0.955,3|5|8|10|13|15|17|21|24|27|30|33|106|108|110|115|126|135|143|150|152|154|164|170|174|176|187,0.4950559139251709|0.4955325126647949|0.5236579179763794|0.6687519550323486|0.6911852359771729|0.592849850654602|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.7880667448043823|0.3342982232570648|0.46184661984443665|0.6947509050369263|0.779582142829895|0.8661649823188782|0.6174159049987793|0.7031896710395813|0.49472934007644653
salinas,26,v0,0.0,0.911,0.955,0.955,3|5|10|13|15|17|21|24|27|30|33|106|108|110|115|126|135|143|150|152|154|164|170|174|176|187,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.592849850654602|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.7880667448043823|0.3342982232570648|0.46184661984443665|0.6947509050369263|0.779582142829895|0.8661649823188782|0.6174159049987793|0.7031896710395813|0.49472934007644653
salinas,25,v0,0.0,0.911,0.955,0.955,3|5|10|13|15|17|21|24|27|30|33|106|108|110|115|126|135|143|150|154|164|170|174|176|187,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.592849850654602|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.7880667448043823|0.3342982232570648|0.6947509050369263|0.779582142829895|0.8661649823188782|0.6174159049987793|0.7031896710395813|0.49472934007644653
salinas,24,v0,0.0,0.911,0.954,0.954,3|5|10|13|15|17|21|24|27|30|33|106|108|110|115|126|135|143|150|154|164|174|176|187,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.592849850654602|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.7880667448043823|0.3342982232570648|0.6947509050369263|0.779582142829895|0.6174159049987793|0.7031896710395813|0.49472934007644653
salinas,23,v0,0.0,0.91,0.954,0.954,3|5|10|13|17|21|24|27|30|33|106|108|110|115|126|135|143|150|154|164|174|176|187,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.7880667448043823|0.3342982232570648|0.6947509050369263|0.779582142829895|0.6174159049987793|0.7031896710395813|0.49472934007644653
salinas,22,v0,0.0,0.91,0.953,0.953,3|5|10|13|17|21|24|27|30|33|106|108|110|115|126|135|143|150|154|164|174|187,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.7880667448043823|0.3342982232570648|0.6947509050369263|0.779582142829895|0.6174159049987793|0.49472934007644653
salinas,21,v0,0.0,0.91,0.953,0.953,3|5|10|13|17|21|24|27|30|33|106|108|110|115|126|135|150|154|164|174|187,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.6909538507461548|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263|0.779582142829895|0.6174159049987793|0.49472934007644653
salinas,20,v0,0.0,0.909,0.952,0.952,3|5|10|13|17|21|24|30|33|106|108|110|115|126|135|150|154|164|174|187,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263|0.779582142829895|0.6174159049987793|0.49472934007644653
salinas,19,v0,0.0,0.909,0.952,0.952,3|5|10|13|17|21|24|30|33|106|108|110|115|126|135|150|154|164|174,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263|0.779582142829895|0.6174159049987793
salinas,18,v0,0.0,0.908,0.951,0.951,3|5|10|13|17|21|24|30|33|106|108|110|115|126|135|150|154|164,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263|0.779582142829895
salinas,17,v0,0.0,0.901,0.946,0.946,3|5|10|13|17|21|24|30|33|106|108|110|115|126|135|150|154,0.4950559139251709|0.4955325126647949|0.6687519550323486|0.6911852359771729|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263
salinas,16,v0,0.0,0.901,0.945,0.945,3|5|13|17|21|24|30|33|106|108|110|115|126|135|150|154,0.4950559139251709|0.4955325126647949|0.6911852359771729|0.7452185750007629|0.7886475324630737|0.42176663875579834|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263
salinas,15,v0,0.0,0.9,0.945,0.945,3|5|13|21|24|30|33|106|108|110|115|126|135|150|154,0.4950559139251709|0.4955325126647949|0.6911852359771729|0.7886475324630737|0.42176663875579834|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263
salinas,14,v0,0.0,0.899,0.945,0.945,3|13|21|24|30|33|106|108|110|115|126|135|150|154,0.4950559139251709|0.6911852359771729|0.7886475324630737|0.42176663875579834|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263
salinas,13,v0,0.0,0.897,0.943,0.943,3|13|24|30|33|106|108|110|115|126|135|150|154,0.4950559139251709|0.6911852359771729|0.42176663875579834|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263
salinas,12,v0,0.0,0.894,0.941,0.941,3|24|30|33|106|108|110|115|126|135|150|154,0.4950559139251709|0.42176663875579834|0.4267164468765259|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263
salinas,11,v0,0.0,0.89,0.937,0.937,3|24|33|106|108|110|115|126|135|150|154,0.4950559139251709|0.42176663875579834|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.7767242193222046|0.6495012044906616|0.3342982232570648|0.6947509050369263
salinas,10,v0,0.0,0.889,0.937,0.937,3|24|33|106|108|110|115|135|150|154,0.4950559139251709|0.42176663875579834|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.6495012044906616|0.3342982232570648|0.6947509050369263
salinas,9,v0,0.0,0.889,0.937,0.937,3|24|33|106|108|110|115|135|150,0.4950559139251709|0.42176663875579834|0.8870762586593628|0.7847616672515869|0.7373093366622925|0.3143305778503418|0.5677350759506226|0.6495012044906616|0.3342982232570648
salinas,8,v0,0.0,0.887,0.936,0.936,3|24|33|106|110|115|135|150,0.4950559139251709|0.42176663875579834|0.8870762586593628|0.7847616672515869|0.3143305778503418|0.5677350759506226|0.6495012044906616|0.3342982232570648
salinas,7,v0,0.0,0.882,0.933,0.933,3|24|33|106|115|135|150,0.4950559139251709|0.42176663875579834|0.8870762586593628|0.7847616672515869|0.5677350759506226|0.6495012044906616|0.3342982232570648
