dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,30,v3,0.74,0.62,0.71,0
indian_pines,30,v3,0.74,0.62,0.7,1
indian_pines,30,v3,0.73,0.61,0.69,2
indian_pines,30,v3,0.73,0.61,0.69,3
indian_pines,30,v3,0.74,0.6,0.7,4
indian_pines,30,v3,0.74,0.61,0.71,5
indian_pines,30,v3,0.74,0.61,0.7,6
indian_pines,30,v3,0.74,0.6,0.7,7
indian_pines,30,v3,0.74,0.61,0.7,8
indian_pines,30,v3,0.72,0.6,0.68,9
indian_pines,30,v3,0.73,0.58,0.7,10
indian_pines,30,v3,0.75,0.66,0.71,11
indian_pines,30,v3,0.73,0.66,0.7,12
indian_pines,30,v3,0.74,0.64,0.7,13
indian_pines,30,v3,0.76,0.64,0.72,14
indian_pines,30,v3,0.72,0.58,0.68,15
indian_pines,30,v3,0.73,0.62,0.7,16
indian_pines,30,v3,0.74,0.62,0.7,17
indian_pines,30,v3,0.73,0.58,0.69,18
indian_pines,30,v3,0.75,0.61,0.71,19
indian_pines,29,v3,0.74,0.62,0.71,0
indian_pines,29,v3,0.74,0.62,0.7,1
indian_pines,29,v3,0.73,0.61,0.69,2
indian_pines,29,v3,0.73,0.61,0.69,3
indian_pines,29,v3,0.74,0.6,0.7,4
indian_pines,29,v3,0.74,0.61,0.71,5
indian_pines,29,v3,0.74,0.61,0.7,6
indian_pines,29,v3,0.74,0.6,0.7,7
indian_pines,29,v3,0.74,0.61,0.7,8
indian_pines,29,v3,0.72,0.6,0.68,9
indian_pines,29,v3,0.73,0.58,0.7,10
indian_pines,29,v3,0.75,0.66,0.71,11
indian_pines,29,v3,0.73,0.66,0.7,12
indian_pines,29,v3,0.74,0.64,0.7,13
indian_pines,29,v3,0.76,0.64,0.72,14
indian_pines,29,v3,0.72,0.58,0.68,15
indian_pines,29,v3,0.73,0.62,0.7,16
indian_pines,29,v3,0.74,0.62,0.7,17
indian_pines,29,v3,0.73,0.58,0.69,18
indian_pines,29,v3,0.75,0.61,0.71,19
indian_pines,28,v3,0.74,0.62,0.71,0
indian_pines,28,v3,0.74,0.62,0.7,1
indian_pines,28,v3,0.73,0.61,0.69,2
indian_pines,28,v3,0.73,0.61,0.69,3
indian_pines,28,v3,0.74,0.6,0.7,4
indian_pines,28,v3,0.74,0.61,0.71,5
indian_pines,28,v3,0.74,0.61,0.7,6
indian_pines,28,v3,0.74,0.6,0.7,7
indian_pines,28,v3,0.74,0.61,0.7,8
indian_pines,28,v3,0.72,0.6,0.68,9
indian_pines,28,v3,0.73,0.58,0.7,10
indian_pines,28,v3,0.75,0.66,0.71,11
indian_pines,28,v3,0.73,0.66,0.7,12
indian_pines,28,v3,0.74,0.64,0.7,13
indian_pines,28,v3,0.76,0.64,0.72,14
indian_pines,28,v3,0.72,0.58,0.68,15
indian_pines,28,v3,0.73,0.62,0.7,16
indian_pines,28,v3,0.74,0.62,0.7,17
indian_pines,28,v3,0.73,0.58,0.69,18
indian_pines,28,v3,0.75,0.61,0.71,19
indian_pines,27,v3,0.74,0.62,0.71,0
indian_pines,27,v3,0.74,0.62,0.7,1
indian_pines,27,v3,0.73,0.61,0.69,2
indian_pines,27,v3,0.73,0.61,0.69,3
indian_pines,27,v3,0.74,0.6,0.7,4
indian_pines,27,v3,0.74,0.61,0.71,5
indian_pines,27,v3,0.74,0.61,0.7,6
indian_pines,27,v3,0.74,0.6,0.7,7
indian_pines,27,v3,0.74,0.61,0.7,8
indian_pines,27,v3,0.72,0.6,0.68,9
indian_pines,27,v3,0.73,0.58,0.7,10
indian_pines,27,v3,0.75,0.66,0.71,11
indian_pines,27,v3,0.73,0.66,0.7,12
indian_pines,27,v3,0.74,0.64,0.7,13
indian_pines,27,v3,0.76,0.64,0.72,14
indian_pines,27,v3,0.72,0.58,0.68,15
indian_pines,27,v3,0.73,0.62,0.7,16
indian_pines,27,v3,0.74,0.62,0.7,17
indian_pines,27,v3,0.73,0.58,0.69,18
indian_pines,27,v3,0.75,0.61,0.71,19
indian_pines,26,v3,0.74,0.62,0.71,0
indian_pines,26,v3,0.74,0.62,0.7,1
indian_pines,26,v3,0.73,0.61,0.69,2
indian_pines,26,v3,0.73,0.61,0.69,3
indian_pines,26,v3,0.74,0.6,0.7,4
indian_pines,26,v3,0.74,0.61,0.71,5
indian_pines,26,v3,0.74,0.61,0.7,6
indian_pines,26,v3,0.74,0.6,0.7,7
indian_pines,26,v3,0.74,0.61,0.7,8
indian_pines,26,v3,0.72,0.6,0.68,9
indian_pines,26,v3,0.73,0.58,0.7,10
indian_pines,26,v3,0.75,0.66,0.71,11
indian_pines,26,v3,0.73,0.66,0.7,12
indian_pines,26,v3,0.74,0.64,0.7,13
