dataset,target_size,algorithm,time,oa,aa,k,selected_features,selected_weights
indian_pines,30,v2,186.719,0.786,0.759,0.759,3|4|5|6|7|8|23|35|37|38|42|57|59|69|78|97|99|100|114|128|129|148|149|157|161|169|170|173|175|179,0.40174978971481323|0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.2730909585952759|0.470753014087677|0.12128787487745285|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.23842157423496246|0.7140489816665649|0.5417083501815796|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.2177472859621048|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.29468294978141785|0.18497443199157715|0.3448267877101898
indian_pines,29,v2,0.0,0.789,0.763,0.763,4|5|6|7|8|23|35|37|38|42|57|59|69|78|97|99|100|114|128|129|148|149|157|161|169|170|173|175|179,0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.2730909585952759|0.470753014087677|0.12128787487745285|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.23842157423496246|0.7140489816665649|0.5417083501815796|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.2177472859621048|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.29468294978141785|0.18497443199157715|0.3448267877101898
indian_pines,28,v2,0.0,0.788,0.764,0.764,4|5|6|7|8|23|35|37|38|42|57|59|69|78|97|99|100|114|128|129|148|149|157|161|169|170|175|179,0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.2730909585952759|0.470753014087677|0.12128787487745285|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.23842157423496246|0.7140489816665649|0.5417083501815796|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.2177472859621048|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.18497443199157715|0.3448267877101898
indian_pines,27,v2,0.0,0.787,0.763,0.763,4|5|6|7|8|23|35|37|38|42|57|59|69|78|97|99|100|114|128|129|148|149|157|161|169|170|175,0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.2730909585952759|0.470753014087677|0.12128787487745285|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.23842157423496246|0.7140489816665649|0.5417083501815796|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.2177472859621048|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.18497443199157715
indian_pines,26,v2,0.0,0.785,0.761,0.761,4|5|6|7|8|23|35|38|42|57|59|69|78|97|99|100|114|128|129|148|149|157|161|169|170|175,0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.470753014087677|0.12128787487745285|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.23842157423496246|0.7140489816665649|0.5417083501815796|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.2177472859621048|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.18497443199157715
indian_pines,25,v2,0.0,0.784,0.76,0.76,4|5|6|7|8|23|35|38|42|57|59|69|78|97|99|114|128|129|148|149|157|161|169|170|175,0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.470753014087677|0.12128787487745285|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.23842157423496246|0.7140489816665649|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.2177472859621048|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.18497443199157715
indian_pines,24,v2,0.0,0.781,0.755,0.755,4|5|6|7|8|23|35|38|57|59|69|78|97|99|114|128|129|148|149|157|161|169|170|175,0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.470753014087677|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.23842157423496246|0.7140489816665649|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.2177472859621048|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.18497443199157715
indian_pines,23,v2,0.0,0.779,0.753,0.753,4|5|6|7|8|23|35|38|57|59|69|78|97|114|128|129|148|149|157|161|169|170|175,0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.470753014087677|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.23842157423496246|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.2177472859621048|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.18497443199157715
indian_pines,22,v2,0.0,0.775,0.749,0.749,4|5|6|7|8|23|35|38|57|59|69|78|114|128|129|148|149|157|161|169|170|175,0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.470753014087677|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.2177472859621048|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.18497443199157715
indian_pines,21,v2,0.0,0.774,0.748,0.748,4|5|6|7|8|23|35|38|57|59|69|78|114|128|129|148|149|161|169|170|175,0.7761053442955017|0.7079743146896362|0.411292165517807|0.31037387251853943|0.7661532163619995|0.3029380142688751|0.5707581043243408|0.470753014087677|0.43912920355796814|0.23938804864883423|0.32969722151756287|0.19780990481376648|0.3192831575870514|0.7690284848213196|0.22388260066509247|0.03312353789806366|0.8475549221038818|0.22655966877937317|0.25561103224754333|0.3249153792858124|0.18497443199157715
