dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,20,v9,0.0,0.793,0.798,0.763,5|6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|70|74|147|148||5|6|7|8|21|22|23|27|28|33|34|37|38|43|70|109|148|161|163|181||4|6|8|22|24|27|28|30|33|34|36|37|38|43|59|70|76|147|148|181||4|5|6|7|8|23|24|28|33|34|37|38|43|56|70|76|147|149|163|181||4|6|8|22|24|27|30|33|34|37|38|43|56|59|70|88|130|148|149|177||4|5|6|7|8|24|28|31|33|34|37|38|42|43|56|74|130|148|149|181||4|5|6|7|8|22|24|28|30|31|33|34|37|38|42|43|56|70|148|181||4|5|6|8|22|24|27|28|30|33|34|37|38|42|43|59|70|147|148|181||4|5|6|7|8|24|27|28|29|31|33|34|37|38|42|43|59|70|147|149||4|6|7|8|19|24|27|28|30|33|34|37|38|42|43|70|74|109|148|181
indian_pines,19,v9,0.0,0.789,0.796,0.76,5|6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|70|74|148||6|7|8|21|22|23|27|28|33|34|37|38|43|70|109|148|161|163|181||4|6|8|22|24|27|28|30|34|36|37|38|43|59|70|76|147|148|181||5|6|7|8|23|24|28|33|34|37|38|43|56|70|76|147|149|163|181||4|6|8|22|24|27|30|33|34|37|38|43|56|59|70|130|148|149|177||4|5|6|7|8|24|28|31|33|34|37|38|42|43|56|74|130|148|149||4|5|6|7|8|24|28|30|31|33|34|37|38|42|43|56|70|148|181||4|5|6|8|22|24|27|28|30|33|34|37|38|43|59|70|147|148|181||4|5|6|7|8|24|27|28|29|31|33|34|37|38|42|43|70|147|149||4|6|8|19|24|27|28|30|33|34|37|38|42|43|70|74|109|148|181
indian_pines,18,v9,0.0,0.783,0.79,0.753,6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|70|74|148||6|7|8|21|22|23|27|28|33|34|37|38|43|70|109|148|161|163||4|6|8|24|27|28|30|34|36|37|38|43|59|70|76|147|148|181||5|6|7|8|24|28|33|34|37|38|43|56|70|76|147|149|163|181||4|6|8|22|24|27|30|33|34|37|38|43|56|59|70|130|148|149||4|5|6|7|8|24|28|31|33|34|37|38|43|56|74|130|148|149||4|6|7|8|24|28|30|31|33|34|37|38|42|43|56|70|148|181||4|5|6|8|22|24|27|28|30|33|34|37|38|43|59|70|148|181||4|5|6|7|8|24|28|29|31|33|34|37|38|42|43|70|147|149||4|6|8|19|24|27|28|33|34|37|38|42|43|70|74|109|148|181
indian_pines,17,v9,0.0,0.78,0.785,0.749,6|8|19|22|24|26|27|28|31|33|34|37|38|42|43|70|148||6|8|21|22|23|27|28|33|34|37|38|43|70|109|148|161|163||4|6|8|24|27|28|30|34|36|37|38|43|59|70|76|148|181||5|6|7|8|24|28|33|34|37|38|43|56|70|76|147|149|181||4|6|8|22|24|27|30|33|34|37|38|43|56|70|130|148|149||4|5|6|7|24|28|31|33|34|37|38|43|56|74|130|148|149||4|6|7|8|24|28|30|31|33|34|37|38|42|43|56|70|148||4|5|6|8|24|27|28|30|33|34|37|38|43|59|70|148|181||4|6|7|8|24|28|29|31|33|34|37|38|42|43|70|147|149||4|6|8|19|24|27|28|33|34|37|38|42|43|70|74|109|148
indian_pines,16,v9,0.0,0.78,0.789,0.749,6|8|19|24|26|27|28|31|33|34|37|38|42|43|70|148||6|8|22|23|27|28|33|34|37|38|43|70|109|148|161|163||6|8|24|27|28|30|34|36|37|38|43|59|70|76|148|181||6|7|8|24|28|33|34|37|38|43|56|70|76|147|149|181||4|6|8|24|27|30|33|34|37|38|43|56|70|130|148|149||4|5|6|7|24|31|33|34|37|38|43|56|74|130|148|149||4|6|8|24|28|30|31|33|34|37|38|42|43|56|70|148||4|5|6|8|27|28|30|33|34|37|38|43|59|70|148|181||4|6|7|8|24|28|29|31|33|34|37|38|42|43|70|147||4|6|8|19|24|27|28|33|34|37|38|42|43|70|74|148
indian_pines,15,v9,0.0,0.785,0.794,0.755,6|8|24|26|27|28|31|33|34|37|38|42|43|70|148||6|8|22|23|27|28|33|34|37|38|43|70|109|148|163||6|8|24|27|28|34|36|37|38|43|59|70|76|148|181||6|7|8|24|28|33|34|37|38|43|70|76|147|149|181||4|6|8|27|30|33|34|37|38|43|56|70|130|148|149||4|5|6|7|24|31|33|34|37|38|43|56|74|130|149||4|6|8|24|28|30|31|33|34|37|38|42|43|70|148||4|5|6|8|27|28|33|34|37|38|43|59|70|148|181||4|6|8|24|28|29|31|33|34|37|38|42|43|70|147||4|6|8|19|24|27|28|33|34|37|38|42|43|70|148
indian_pines,14,v9,0.0,0.781,0.792,0.749,6|8|24|26|27|28|31|33|34|37|38|43|70|148||6|8|22|23|27|28|33|34|37|38|43|70|109|148||6|8|24|27|28|34|37|38|43|59|70|76|148|181||6|8|24|28|33|34|37|38|43|70|76|147|149|181||4|6|8|27|30|33|34|37|38|43|56|70|130|148||4|5|6|7|24|31|33|34|37|38|43|56|74|149||4|6|8|24|28|30|33|34|37|38|42|43|70|148||4|5|6|8|27|28|33|34|37|38|43|70|148|181||4|6|8|24|28|29|31|33|34|37|38|43|70|147||4|6|8|19|27|28|33|34|37|38|42|43|70|148
indian_pines,13,v9,0.0,0.778,0.781,0.746,6|8|24|26|27|31|33|34|37|38|43|70|148||6|8|23|27|28|33|34|37|38|43|70|109|148||6|8|24|27|28|34|37|38|43|59|70|148|181||6|8|24|28|33|34|37|38|43|70|76|149|181||4|6|8|27|30|33|34|37|38|43|56|70|148||4|5|6|7|24|31|33|34|37|38|43|56|149||4|6|8|24|28|33|34|37|38|42|43|70|148||5|6|8|27|28|33|34|37|38|43|70|148|181||4|6|8|24|28|29|31|33|34|37|38|43|70||4|6|8|19|27|28|33|34|37|38|43|70|148
indian_pines,12,v9,0.0,0.765,0.764,0.731,6|8|24|27|31|33|34|37|38|43|70|148||6|8|23|27|28|33|34|37|38|43|70|148||6|8|24|27|28|34|37|38|43|59|148|181||6|8|24|28|33|34|37|38|43|70|76|149||4|6|8|27|33|34|37|38|43|56|70|148||4|5|6|7|24|31|33|34|37|38|43|56||4|6|8|24|33|34|37|38|42|43|70|148||6|8|27|28|33|34|37|38|43|70|148|181||4|6|8|24|28|29|33|34|37|38|43|70||4|6|8|19|28|33|34|37|38|43|70|148
indian_pines,11,v9,0.0,0.763,0.765,0.73,6|8|24|31|33|34|37|38|43|70|148||6|8|23|28|33|34|37|38|43|70|148||6|8|24|27|28|34|37|38|43|148|181||6|8|24|28|33|34|37|38|70|76|149||4|6|8|27|33|34|37|38|43|70|148||4|5|6|7|24|33|34|37|38|43|56||4|6|8|24|33|34|37|38|42|43|148||6|8|27|28|33|34|37|38|43|70|148||4|6|8|24|28|33|34|37|38|43|70||6|8|19|28|33|34|37|38|43|70|148
indian_pines,10,v9,0.0,0.758,0.758,0.724,6|8|24|31|33|34|37|38|43|148||6|8|23|28|34|37|38|43|70|148||6|8|24|27|34|37|38|43|148|181||6|8|24|28|33|34|37|38|70|76||6|8|27|33|34|37|38|43|70|148||4|5|6|24|33|34|37|38|43|56||4|6|8|24|33|34|37|38|43|148||6|8|28|33|34|37|38|43|70|148||4|6|8|24|28|33|34|37|38|70||6|8|28|33|34|37|38|43|70|148
indian_pines,9,v9,0.0,0.738,0.73,0.7,6|8|24|33|34|37|38|43|148||6|8|23|28|34|37|38|43|148||6|8|24|27|34|37|38|43|148||6|8|24|33|34|37|38|70|76||6|8|27|33|34|37|38|43|148||4|5|6|24|33|34|37|38|43||6|8|24|33|34|37|38|43|148||6|8|33|34|37|38|43|70|148||4|6|8|24|28|33|34|37|38||6|8|28|33|37|38|43|70|148
indian_pines,8,v9,0.0,0.722,0.691,0.682,6|8|33|34|37|38|43|148||6|8|23|28|34|37|38|148||6|8|24|34|37|38|43|148||6|8|24|33|34|37|38|70||6|8|27|33|34|37|38|148||4|5|6|24|33|34|37|38||6|8|33|34|37|38|43|148||6|8|33|34|37|38|43|148||4|6|8|24|33|34|37|38||6|8|28|33|37|38|43|148
indian_pines,7,v9,0.0,0.709,0.674,0.666,6|8|33|34|37|38|148||6|8|28|34|37|38|148||6|8|34|37|38|43|148||6|8|24|33|34|37|38||6|8|27|33|37|38|148||4|6|24|33|34|37|38||6|8|33|34|37|38|148||6|8|33|37|38|43|148||4|6|24|33|34|37|38||6|8|28|33|37|43|148
indian_pines,6,v9,0.0,0.691,0.634,0.645,6|8|33|34|38|148||6|8|28|37|38|148||6|8|34|37|38|148||6|8|24|33|37|38||6|8|27|37|38|148||6|24|33|34|37|38||6|8|34|37|38|148||6|33|37|38|43|148||6|24|33|34|37|38||6|8|28|33|37|148
indian_pines,5,v9,0.0,0.661,0.591,0.609,6|33|34|38|148||6|8|28|37|38||6|8|37|38|148||6|8|33|37|38||6|27|37|38|148||6|24|33|37|38||6|8|37|38|148||6|33|38|43|148||6|24|33|37|38||6|8|33|37|148
